artist_id,similar_artists_id
6826935,"['7723814', '6019372', '6914440', '6456325', '795224', '6599738', '6928538', '6502292', '4952161', '2938031', '4439056', '5546028', '4027035', '4623476', '5056591', '3313381', '5885296', '6753742', '6407566', '5850853', '428038', '5313769', '3183564', '8812067', '4330960', '1556385', '8095900', '5811881', '5295433', '9352087', '9617142', '6504263', '4167774', '4944386', '8739954', '6286764', '4525928', '7596612', '4462686', '8650302', '6963944', '5880813', '6312364', '952536', '190602', '1532779', '5451801', '8553938', '6125147']"
3706671,"['7532997', '4027035', '7423616', '5546028', '4110067', '232871', '6222019', '10848257', '5349983', '7723814', '5457159', '233939', '2428208', '5608856', '4084181', '4709442', '3447668', '5599442', '4994784', '3767654', '3538196', '219036', '5466847', '3435922', '4370377', '4017435', '722467', '6294505', '5652191', '1532331', '4353492', '777339', '1532779', '7092474', '717399', '5430946', '155946', '6606456', '7072757', '6125147', '5097198', '4623476', '1556385', '6914440', '588511', '6104515', '225934', '7320578', '611169']"
160531,"['41145', '41051', '41050', '41134', '218274', '41213', '41055', '188974', '41138', '2905482', '41092', '432938', '218067', '41220', '29044', '338745', '1431923', '41120', '218073', '170659', '218333', '161243', '79770', '41166', '358612', '170650', '8773', '41098', '218071', '18642', '218237', '677775', '188971', '3153244', '89578', '1435011', '41083', '907548', '41154', '789480', '88028', '106934', '41114', '412759', '41113', '168372', '168852', '41140', '165099']"
5546028,"['6502292', '4774224', '6222019', '5451801', '7723814', '6407566', '2686162', '6928538', '3706671', '5907689', '8553938', '7532997', '3435922', '6371054', '15520884', '795224', '2701786', '232871', '6286764', '6914440', '428038', '5811881', '3753800', '5054100', '4623000', '4652316', '6826935', '5295433', '1793305', '4370377', '5313769', '4027035', '2428208', '4709442', '6599738', '5399221', '4439056', '3183564', '4994784', '5053856', '10848257', '4525928', '4110067', '4669403', '188970', '7693553', '6104515', '5349983']"
160530,"['232871', '432938', '41092', '9262', '1404', '36830', '7444', '12674', '36791', '11952', '9278', '36825', '67437', '36833', '82159', '188970', '432914', '3730431', '21282', '27154', '12662', '64592', '41050', '118909', '5054100', '161243', '89882', '41051', '41123', '41138', '48196', '41098', '3435922', '3315646', '202158', '587013', '41134', '36810', '4873936', '41055', '3121', '218099', '13002', '79770', '12048', '2905482', '5529', '6222019']"
3801185,"['3435922', '2701786', '3730431', '5373532', '8189731', '4147915', '10792459', '457401', '5495146', '7693553', '3866018', '7018554', '41170', '232871', '6269258', '8451432', '2669368', '6167730', '188970', '3808906', '3292784', '1532331', '3971041', '3836355', '5907689', '3277864', '15520884', '108511', '1028382', '1590458', '6305508', '5054100', '3749834', '3105057', '1401151', '6499264', '5393321', '6310447', '5538961', '9364221', '4029507', '2693258', '5140978', '2641320', '36229', '79770', '5451801', '1793305']"
8553938,"['9617142', '5399221', '2686162', '9588923', '4774224', '4572203', '6721519', '5811881', '6407566', '7693553', '5913514', '5546028', '4029507', '6410084', '8451432', '3753800', '6371054', '6502292', '5054100', '6004276', '6177002', '4998322', '6487554', '19338960', '7310720', '9679898', '7945876', '13260416', '5373532', '10983287', '6286764', '49522', '5313769', '6599738', '9825504', '6373919', '5140978', '4525928', '4669403', '4952161', '7823707', '2419090', '8665761', '6142789', '6222019', '8069079', '6269258', '7072757', '1413836', '15970138']"
3292784,"['6269258', '5373532', '9679898', '5393321', '6177002', '8451432', '4029507', '7693553', '4572203', '3778962', '3435922', '6410084', '9640922', '9364221', '7310720', '5140978', '6721519', '8491263', '6150311', '1590458', '6310447', '4747684', '3801185', '8189731', '4774224', '3718228', '6033906', '5922090', '5399221', '232871', '1832729', '5054100', '7174914', '5913514', '4806844', '3730431', '7018554', '41170', '1988619', '161973', '6499264', '3942622', '4406703', '9127019', '4672855', '6371054', '49522', '8180013', '12132861']"
3435922,"['5373532', '3801185', '4774224', '5054100', '4029507', '7693553', '232871', '2701786', '8451432', '6269258', '4572203', '3292784', '6721519', '5399221', '15520884', '6177002', '2686162', '6222019', '9679898', '5546028', '5140978', '3808906', '4370377', '3730431', '5913514', '6371054', '41170', '4147915', '1532331', '5393321', '6410084', '1028382', '5495146', '7018554', '8189731', '6004276', '833264', '161973', '5907689', '2641320', '457401', '6407566', '1590458', '3706671', '5349983', '3753800', '853465', '160530']"
3753800,"['4774224', '4029507', '49522', '6721519', '2686162', '5399221', '5054100', '3095130', '202158', '4572203', '6502292', '9617142', '4525928', '6177002', '8553938', '9588923', '4545156', '6407566', '161544', '6222019', '5546028', '4370377', '5913514', '4252545', '4772494', '5053856', '161973', '3746344', '7693553', '8451432', '6286764', '5313769', '4164896', '7048612', '6373919', '2419090', '232871', '5244674', '218095', '5811881', '4998322', '3435922', '4952161', '4623000', '6910614', '6928538', '2525773']"
7532997,"['3706671', '2428208', '4709442', '5546028', '4994784', '5538961', '45080', '4027035', '5036741', '232871', '4370377', '5599442', '5765654', '2686162', '8189731', '3435922', '4110067', '6222019', '7072757', '432914', '10848257', '7423616', '4774224', '3538196', '3801185', '1420654', '3808906', '9006017', '762974', '6410084', '1126913', '7439644', '6004276', '7320578', '5495146', '432938', '5457159', '5907689', '3767654', '5373532', '15520884', '5349983', '678505', '4084181', '4856752', '3194141', '6269258', '160530', '668808']"
3808906,"['4712621', '2701786', '4027035', '3435922', '3801185', '232871', '6104515', '6914440', '5282281', '2734041', '6004276', '4439056', '4110067', '5599442', '3116561', '7082304', '4370377', '4774224', '646112', '3183564', '1532331', '4525928', '6222019', '6305508', '853465', '5546028', '6910614', '3095130', '587064', '41170', '218095', '2686162', '11573356', '4252545', '678505', '4572203', '543582', '202158', '1420654', '7532997', '6410084', '5054100', '7423616', '6996012', '4709442', '5373532', '5907689', '10294988', '3699423']"
6167730,"['10792459', '7018554', '6012070', '6305508', '7439644', '1590458', '8644860', '6310447', '9341585', '5907689', '6499264', '9006017', '5091396', '9786351', '2701786', '5922090', '6996012', '457401', '8455865', '9364221', '3866018', '8420850', '3801185', '10762874', '5981108', '264520', '13473810', '6150311', '8451432', '5907702', '7693553', '5538961', '5345808', '7427910', '681188', '8947630', '7407804', '1719288', '9127019', '2620997', '1793305', '3730431', '6774677', '3435922', '5379284', '1186382', '3926810', '7796783', '3718228']"
313451,"['358613', '3805596', '79770', '2962264', '41092', '4776089', '412774', '41054', '358612', '41120', '907548', '188963', '218068', '2655634', '673006', '2914336', '41145', '4741207', '41166', '161244', '41055', '3102809', '1462419', '41083', '218079', '41154', '2905482', '41051', '1431923', '2834468', '41050', '218067', '3105011', '359568', '1598994', '41136', '167190', '453480', '170650', '3153244', '2693258', '156419', '41062', '166306', '168852', '160531', '41213', '5271861', '167152']"
7018554,"['10792459', '6167730', '7439644', '8451432', '1590458', '6012070', '7693553', '6305508', '5907689', '9341585', '3801185', '457401', '6371054', '6996012', '8947630', '8644860', '6310447', '1793305', '10762874', '8420850', '2701786', '13260416', '266271', '6612131', '8455865', '6487554', '6485715', '3435922', '9127019', '5538961', '6774677', '4669403', '11093268', '13473810', '9786351', '4147915', '9277113', '6499264', '3292784', '4709442', '9006017', '5907702', '7407804', '2686162', '5922090', '3866018', '9364221', '2669368', '5103897']"
